customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
34,Jephthah,Bachmann,U,59,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20
66,Anselm,Gawne,Male,46,3/11/2002,Account Executive,Argiculture,High Net Worth,N,No,1
1888,Sibyl,Scholtz,Female,67,1/26/2002,Food Chemist,Health,Mass Customer,N,Yes,1
3435,Stevena,Allcock,Female,80,1/15/2002,SeniorEditor,Health,Affluent Customer,N,No,1
2858,Benedicto,Radki,Male,4,1/9/2002,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,1
422,Vito,Norker,Male,78,1/6/2002,Senior Quality Engineer,Manufacturing,Affluent Customer,N,No,1
2296,Nathalia,Sanger,Female,16,1/1/2002,Geologist IV,Retail,Affluent Customer,N,No,1
470,Darbee,Klimowicz,Male,22,12/19/2001,Internal Auditor,Retail,Mass Customer,N,No,1
3949,Costa,Sleightholm,Male,24,12/19/2001,Web Designer IV,Manufacturing,High Net Worth,N,Yes,1
1402,Hillier,Andraud,Male,58,12/8/2001,Assistant Professor,Telecommunications,Mass Customer,N,No,1
1519,Marwin,Jeyness,Male,35,11/30/2001,Administrative Assistant IV,Telecommunications,High Net Worth,N,Yes,1
212,Nanice,Ellse,Female,21,11/19/2001,Desktop Support Technician,IT,Affluent Customer,N,No,1
2759,Melodee,Hendrik,Female,16,11/14/2001,Operator,Health,Affluent Customer,N,Yes,1
447,Brittany,Peasey,Female,98,11/6/2001,Help Desk Technician,Argiculture,Mass Customer,N,Yes,1
1250,Jacklyn,Kewley,Female,42,11/2/2001,Help Desk Technician,Manufacturing,Mass Customer,N,No,1
751,Amie,Dufty,Female,41,10/31/2001,Business Systems Development Analyst,Financial Services,Affluent Customer,N,No,1
1322,Kathye,Christie,Female,37,10/16/2001,Data Coordiator,Financial Services,Mass Customer,N,Yes,1
3173,Angelo,Kennewell,Male,55,10/10/2001,Computer Systems Analyst I,Health,Mass Customer,N,Yes,1
442,Linc,Vedyasov,Male,2,10/6/2001,Staff Scientist,Financial Services,Mass Customer,N,No,1
245,Noell,Grahlmans,Female,6,9/26/2001,Associate Professor,Financial Services,Affluent Customer,N,No,1
105,Maribeth,Pristnor,Female,25,9/17/2001,Recruiting Manager,Manufacturing,Mass Customer,N,No,1
3997,Blanch,Nisuis,Female,87,7/13/2001,Statistician II,Manufacturing,High Net Worth,N,Yes,1
3998,Sarene,Woolley,U,60,7/13/2001,Assistant Manager,IT,High Net Worth,N,No,10.65704063
2808,Preston,Tinkham,Male,68,6/29/2001,Actuary,Financial Services,Mass Customer,N,Yes,1
3254,Lissy,Paliser,Female,8,5/22/2001,Human Resources Assistant I,Financial Services,Mass Customer,N,No,1
3255,Sutherlan,Truin,U,47,5/22/2001,Engineer IV,IT,High Net Worth,N,No,10.65704063
3607,Troy,Blaydes,Male,99,5/22/2001,Clinical Specialist,Health,Mass Customer,N,No,1
2628,Giselbert,Gudyer,Male,29,5/21/2001,Assistant Media Planner,Entertainment,Affluent Customer,N,No,1
1813,Reeva,Eakeley,Female,45,5/19/2001,Technical Writer,Manufacturing,Mass Customer,N,No,1
874,Howard,Oseland,Male,78,5/5/2001,Recruiting Manager,Health,Mass Customer,N,Yes,1
540,Tresa,Dy,Female,80,4/28/2001,Chemical Engineer,Manufacturing,Mass Customer,N,No,1
3112,Terri,Gornal,Male,41,4/22/2001,Internal Auditor,Retail,High Net Worth,N,Yes,1
3749,Blondelle,Swynley,Female,3,4/21/2001,Chemical Engineer,IT,Affluent Customer,N,No,1
19,Sorcha,Keyson,Female,76,4/15/2001,Geological Engineer,Manufacturing,High Net Worth,N,No,1
1355,Isador,Hallitt,Male,37,4/4/2001,VP Quality Control,Property,Mass Customer,N,No,1
3616,Vale,Dagnan,Male,42,4/2/2001,Product Engineer,Property,High Net Worth,N,No,2
2812,Molli,Hagergham,Female,16,4/1/2001,Budget/Accounting Analyst IV,Property,High Net Worth,N,Yes,1
3014,Terrijo,Merlin,Female,59,3/30/2001,Software Engineer II,Property,High Net Worth,N,No,1
2600,Darnell,Wistance,Male,55,3/3/2001,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,1
829,Byran,Goodfield,Male,84,1/22/2001,Environmental Tech,Financial Services,High Net Worth,N,Yes,2
2869,Gavra,Woolvin,Female,19,1/16/2001,Assistant Media Planner,Manufacturing,Affluent Customer,N,No,2
2392,Isadora,Gronaller,Female,48,1/11/2001,Marketing Assistant,Manufacturing,Affluent Customer,N,No,2
2588,Kimball,Martinho,Male,37,1/2/2001,Professor,Financial Services,High Net Worth,N,No,2
2998,Quintana,Housley,Female,34,12/19/2000,Nurse Practicioner,Manufacturing,High Net Worth,N,Yes,2
2999,Rinaldo,Diggin,U,28,12/19/2000,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,10.65704063
3367,Melisse,Massei,Female,75,12/5/2000,Librarian,Entertainment,Mass Customer,N,Yes,1
3459,Emelda,Ramsdell,Female,62,11/24/2000,Actuary,Entertainment,Mass Customer,N,Yes,2
609,Margalit,Dorwood,Female,32,11/6/2000,Computer Systems Analyst II,Health,Mass Customer,N,No,1
852,Andie,Bonney,Female,37,11/4/2000,Compensation Analyst,Financial Services,Affluent Customer,N,Yes,2
913,Dayle,Spearman,Female,67,10/28/2000,Chemical Engineer,Financial Services,Mass Customer,N,No,1
2989,Mort,Michie,Male,37,10/25/2000,Dental Hygienist,Health,High Net Worth,N,Yes,2
854,Charisse,Thoresby,Female,35,10/24/2000,Marketing Manager,Retail,Affluent Customer,N,No,2
1354,Karee,Hyman,Female,0,10/15/2000,Analyst Programmer,Financial Services,Affluent Customer,N,No,2
1798,Eunice,Risom,Female,46,10/11/2000,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,1
2398,Mirelle,Birchenough,Female,6,10/11/2000,Administrative Assistant IV,Financial Services,High Net Worth,N,Yes,1
850,Nevin,Hanfrey,Male,79,9/24/2000,Clinical Specialist,Health,Mass Customer,N,No,1
3015,Queenie,Flips,Female,25,9/2/2000,Assistant Manager,Retail,Affluent Customer,N,No,1
373,Eva,Colenutt,Female,95,8/26/2000,Structural Analysis Engineer,Health,High Net Worth,N,Yes,1
3077,Emelen,Gillopp,Male,19,8/11/2000,Information Systems Manager,Manufacturing,Affluent Customer,N,No,2
